ONLY EDIT THIS COLUMN,QB Ranks,,,,
ID,SDIO,Name,Team,Rank,Comments
Josh Allen (19801) [BUF],19801,Josh Allen,BUF,1,
Drake Maye (24958) [NE],24958,Drake Maye,NE,2,
Lamar Jackson (19781) [BAL],19781,Lamar Jackson,BAL,3,
Jayden Daniels (23235) [WAS],23235,Jayden Daniels,WAS,4,
Joe Burrow (21693) [CIN],21693,Joe Burrow,CIN,5,
Jalen Hurts (21831) [PHI],21831,Jalen Hurts,PHI,6,
Justin Herbert (21681) [LAC],21681,Justin Herbert,LAC,7,
Caleb Williams (24927) [CHI],24927,Caleb Williams,CHI,8,
Patrick Mahomes (18890) [KC],18890,Patrick Mahomes,KC,9,
Jaxson Dart (26082) [NYG],26082,Jaxson Dart,NYG,10,
Trevor Lawrence (22490) [JAX],22490,Trevor Lawrence,JAX,11,
Brock Purdy (23241) [SF],23241,Brock Purdy,SF,12,
Bo Nix (25069) [DEN],25069,Bo Nix,DEN,13,
Jordan Love (21841) [GB],21841,Jordan Love,GB,14,
Dak Prescott (18055) [DAL],18055,Dak Prescott,DAL,15,
Baker Mayfield (19790) [TB],19790,Baker Mayfield,TB,16,
C.J. Stroud (23239) [HOU],23239,C.J. Stroud,HOU,17,
Jared Goff (17922) [DET],17922,Jared Goff,DET,18,
Fernando Mendoza (26740) [LV],26740,Fernando Mendoza,LV,19,
Cam Ward (25323) [TEN],25323,Cam Ward,TEN,20,
Tyler Shough (23187) [NO],23187,Tyler Shough,NO,21,
Kyler Murray (20889) [MIN],20889,Kyler Murray,MIN,22,
Daniel Jones (20841) [IND],20841,Daniel Jones,IND,23,
Ty Simpson (26739) [LAR],26739,Ty Simpson,LAR,24,
Matthew Stafford (9038) [LAR],9038,Matthew Stafford,LAR,25,
Malik Willis (23118) [MIA],23118,Malik Willis,MIA,26,
Sam Darnold (19812) [SEA],19812,Sam Darnold,SEA,27,
Bryce Young (23132) [CAR],23132,Bryce Young,CAR,28,
Michael Penix Jr. (23242) [ATL],23242,Michael Penix Jr.,ATL,29,
Geno Smith (14895) [NYJ],14895,Geno Smith,NYJ,30,
Carson Beck (24994) [ARI],24994,Carson Beck,ARI,31,
Jacoby Brissett (18018) [ARI],18018,Jacoby Brissett,ARI,32,
Tua Tagovailoa (21677) [ATL],21677,Tua Tagovailoa,ATL,33,
J.J. McCarthy (24956) [MIN],24956,J.J. McCarthy,MIN,34,
Aaron Rodgers (2593) [FA],2593,Aaron Rodgers,,35,
Taylen Green (26839) [CLE],26839,Taylen Green,CLE,36,
Shedeur Sanders (26079) [CLE],26079,Shedeur Sanders,CLE,37,
Deshaun Watson (18857) [CLE],18857,Deshaun Watson,CLE,38,
Mac Jones (22496) [SF],22496,Mac Jones,SF,39,
Kirk Cousins (14252) [LV],14252,Kirk Cousins,LV,40,
Cole Payton (26933) [PHI],26933,Cole Payton,PHI,41,
Justin Fields (22492) [KC],22492,Justin Fields,KC,42,
Anthony Richardson Sr. (24117) [IND],24117,Anthony Richardson Sr.,IND,43,
Garrett Nussmeier (25871) [KC],25871,Garrett Nussmeier,KC,44,
Spencer Rattler (23186) [NO],23186,Spencer Rattler,NO,45,
Jalen Milroe (25882) [SEA],25882,Jalen Milroe,SEA,46,
Drew Allar (28045) [PIT],28045,Drew Allar,PIT,47,
Joe Flacco (611) [CIN],611,Joe Flacco,CIN,48,
Dillon Gabriel (23177) [CLE],23177,Dillon Gabriel,CLE,49,
Quinn Ewers (26048) [MIA],26048,Quinn Ewers,MIA,50,
Russell Wilson (14536) [FA],14536,Russell Wilson,,51,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,RB Ranks,,,,
ID,SDIO,Name,Team,Rank,Comments
Jahmyr Gibbs (23200) [DET],23200,Jahmyr Gibbs,DET,1,
Bijan Robinson (23189) [ATL],23189,Bijan Robinson,ATL,2,
Ashton Jeanty (25868) [LV],25868,Ashton Jeanty,LV,3,
Jeremiyah Love (26768) [ARI],26768,Jeremiyah Love,ARI,4,
Omarion Hampton (25956) [LAC],25956,Omarion Hampton,LAC,5,
Jonathan Taylor (21682) [IND],21682,Jonathan Taylor,IND,6,
James Cook III (23247) [BUF],23247,James Cook III,BUF,7,
De'Von Achane (24179) [MIA],24179,De'Von Achane,MIA,8,
Kenneth Walker III (23214) [KC],23214,Kenneth Walker III,KC,9,
Chase Brown (24374) [CIN],24374,Chase Brown,CIN,10,
Quinshon Judkins (25946) [CLE],25946,Quinshon Judkins,CLE,11,
Christian McCaffrey (18877) [SF],18877,Christian McCaffrey,SF,12,
Breece Hall (22526) [NYJ],22526,Breece Hall,NYJ,13,
TreVeyon Henderson (23245) [NE],23245,TreVeyon Henderson,NE,14,
Saquon Barkley (19766) [PHI],19766,Saquon Barkley,PHI,15,
Cam Skattebo (25887) [NYG],25887,Cam Skattebo,NYG,16,
Bucky Irving (24967) [TB],24967,Bucky Irving,TB,17,
Josh Jacobs (20824) [GB],20824,Josh Jacobs,GB,18,
Derrick Henry (17959) [BAL],17959,Derrick Henry,BAL,19,
Bhayshul Tuten (25898) [JAX],25898,Bhayshul Tuten,JAX,20,
Travis Etienne Jr. (21696) [NO],21696,Travis Etienne Jr.,NO,21,
Javonte Williams (22558) [DAL],22558,Javonte Williams,DAL,22,
Kyren Williams (23212) [LAR],23212,Kyren Williams,LAR,23,
Jadarian Price (26765) [SEA],26765,Jadarian Price,SEA,24,
D'Andre Swift (21684) [CHI],21684,D'Andre Swift,CHI,25,
Rhamondre Stevenson (22546) [NE],22546,Rhamondre Stevenson,NE,26,
David Montgomery (20882) [HOU],20882,David Montgomery,HOU,27,
Jonah Coleman (25886) [DEN],25886,Jonah Coleman,DEN,28,
Chuba Hubbard (21691) [CAR],21691,Chuba Hubbard,CAR,29,
Jaylen Warren (23479) [PIT],23479,Jaylen Warren,PIT,30,
Tony Pollard (20912) [TEN],20912,Tony Pollard,TEN,31,
RJ Harvey (25944) [DEN],25944,RJ Harvey,DEN,32,
Zach Charbonnet (23173) [SEA],23173,Zach Charbonnet,SEA,33,
Nicholas Singleton (27045) [TEN],27045,Nicholas Singleton,TEN,34,
Rachaad White (23217) [WAS],23217,Rachaad White,WAS,35,
Rico Dowdle (21952) [PIT],21952,Rico Dowdle,PIT,36,
Kyle Monangai (25952) [CHI],25952,Kyle Monangai,CHI,37,
Blake Corum (24116) [LAR],24116,Blake Corum,LAR,38,
Emmett Johnson (26835) [KC],26835,Emmett Johnson,KC,39,
Kaytron Allen (25939) [WAS],25939,Kaytron Allen,WAS,40,
J.K. Dobbins (21674) [DEN],21674,J.K. Dobbins,DEN,41,
Jacory Croskey-Merritt (26259) [WAS],26259,Jacory Croskey-Merritt,WAS,42,
Dylan Sampson (25889) [CLE],25889,Dylan Sampson,CLE,43,
Chris Rodriguez Jr. (23237) [JAX],23237,Chris Rodriguez Jr.,JAX,44,
Tyrone Tracy Jr. (25092) [NYG],25092,Tyrone Tracy Jr.,NYG,45,
