ONLY EDIT THIS COLUMN,QB Ranks,,,,,
ID,SDIO,Name,Team,Rank,Comments,
Josh Allen (19801) [BUF],19801,Josh Allen,BUF,1,,QB1
Drake Maye (24958) [NE],24958,Drake Maye,NE,2,,QB2
Jayden Daniels (23235) [WAS],23235,Jayden Daniels,WAS,3,,QB3
Caleb Williams (24927) [CHI],24927,Caleb Williams,CHI,4,,QB4
Lamar Jackson (19781) [BAL],19781,Lamar Jackson,BAL,5,,QB5
Joe Burrow (21693) [CIN],21693,Joe Burrow,CIN,6,,QB6
Justin Herbert (21681) [LAC],21681,Justin Herbert,LAC,7,,QB7
Jalen Hurts (21831) [PHI],21831,Jalen Hurts,PHI,8,,QB8
Patrick Mahomes (18890) [KC],18890,Patrick Mahomes,KC,9,,QB9
Jaxson Dart (26082) [NYG],26082,Jaxson Dart,NYG,10,,QB10
Trevor Lawrence (22490) [JAX],22490,Trevor Lawrence,JAX,11,,QB11
Brock Purdy (23241) [SF],23241,Brock Purdy,SF,12,,QB12
Jordan Love (21841) [GB],21841,Jordan Love,GB,13,,QB13
Bo Nix (25069) [DEN],25069,Bo Nix,DEN,14,,QB14
Dak Prescott (18055) [DAL],18055,Dak Prescott,DAL,15,,QB15
Fernando Mendoza (26740) [LV],26740,Fernando Mendoza,LV,16,,QB16
C.J. Stroud (23239) [HOU],23239,C.J. Stroud,HOU,17,,QB17
Baker Mayfield (19790) [TB],19790,Baker Mayfield,TB,18,,QB18
Cam Ward (25323) [TEN],25323,Cam Ward,TEN,19,,QB19
Tyler Shough (23187) [NO],23187,Tyler Shough,NO,20,,QB20
Jared Goff (17922) [DET],17922,Jared Goff,DET,21,,QB21
Matthew Stafford (9038) [LAR],9038,Matthew Stafford,LAR,22,,QB22
Kyler Murray (20889) [MIN],20889,Kyler Murray,MIN,23,,QB23
Malik Willis (23118) [MIA],23118,Malik Willis,MIA,24,,QB24
Sam Darnold (19812) [SEA],19812,Sam Darnold,SEA,25,,QB25
Daniel Jones (20841) [IND],20841,Daniel Jones,IND,26,,QB26
Bryce Young (23132) [CAR],23132,Bryce Young,CAR,27,,QB27
Ty Simpson (26739) [LAR],26739,Ty Simpson,LAR,28,,QB28
Michael Penix Jr. (23242) [ATL],23242,Michael Penix Jr.,ATL,29,,QB29
Geno Smith (14895) [NYJ],14895,Geno Smith,NYJ,30,,QB30
J.J. McCarthy (24956) [MIN],24956,J.J. McCarthy,MIN,31,,QB31
Jacoby Brissett (18018) [ARI],18018,Jacoby Brissett,ARI,32,,QB32
Shedeur Sanders (26079) [CLE],26079,Shedeur Sanders,CLE,33,,QB33
Mac Jones (22496) [SF],22496,Mac Jones,SF,34,,QB34
Tua Tagovailoa (21677) [ATL],21677,Tua Tagovailoa,ATL,35,,QB35
Carson Beck (24994) [ARI],24994,Carson Beck,ARI,36,,QB36
Aaron Rodgers (2593) [FA],2593,Aaron Rodgers,,37,,QB37
Justin Fields (22492) [KC],22492,Justin Fields,KC,38,,QB38
Anthony Richardson Sr. (24117) [IND],24117,Anthony Richardson Sr.,IND,39,,QB39
Deshaun Watson (18857) [CLE],18857,Deshaun Watson,CLE,40,,QB40
Kirk Cousins (14252) [LV],14252,Kirk Cousins,LV,41,,QB41
Taylen Green (26839) [CLE],26839,Taylen Green,CLE,42,,QB42
Jalen Milroe (25882) [SEA],25882,Jalen Milroe,SEA,43,,QB43
Dillon Gabriel (23177) [CLE],23177,Dillon Gabriel,CLE,44,,QB44
Cole Payton (26933) [PHI],26933,Cole Payton,PHI,45,,QB45
Quinn Ewers (26048) [MIA],26048,Quinn Ewers,MIA,46,,QB46
Tyson Bagent (24168) [CHI],24168,Tyson Bagent,CHI,47,,QB47
Drew Allar (28045) [PIT],28045,Drew Allar,PIT,48,,QB48
Cade Klubnik (28048) [NYJ],28048,Cade Klubnik,NYJ,49,,QB49
Spencer Rattler (23186) [NO],23186,Spencer Rattler,NO,50,,QB50
Garrett Nussmeier (25871) [KC],25871,Garrett Nussmeier,KC,51,,QB51
Haynes King (28047) [CAR],28047,Haynes King,CAR,52,,QB52
Joe Flacco (611) [CIN],611,Joe Flacco,CIN,53,,QB53
Diego Pavia (26856) [BAL],26856,Diego Pavia,BAL,54,,QB54
Russell Wilson (14536) [FA],14536,Russell Wilson,,55,,QB55
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,RB Ranks,,,,,
ID,SDIO,Name,Team,Rank,Comments,
Jahmyr Gibbs (23200) [DET],23200,Jahmyr Gibbs,DET,1,,RB1
Bijan Robinson (23189) [ATL],23189,Bijan Robinson,ATL,2,,RB2
Ashton Jeanty (25868) [LV],25868,Ashton Jeanty,LV,3,,RB3
Jeremiyah Love (26768) [ARI],26768,Jeremiyah Love,ARI,4,,RB4
De'Von Achane (24179) [MIA],24179,De'Von Achane,MIA,5,,RB5
Jonathan Taylor (21682) [IND],21682,Jonathan Taylor,IND,6,,RB6
Omarion Hampton (25956) [LAC],25956,Omarion Hampton,LAC,7,,RB7
James Cook III (23247) [BUF],23247,James Cook III,BUF,8,,RB8
TreVeyon Henderson (23245) [NE],23245,TreVeyon Henderson,NE,9,,RB9
Kenneth Walker III (23214) [KC],23214,Kenneth Walker III,KC,10,,RB10
Chase Brown (24374) [CIN],24374,Chase Brown,CIN,11,,RB11
Christian McCaffrey (18877) [SF],18877,Christian McCaffrey,SF,12,,RB12
Quinshon Judkins (25946) [CLE],25946,Quinshon Judkins,CLE,13,,RB13
Bucky Irving (24967) [TB],24967,Bucky Irving,TB,14,,RB14
Cam Skattebo (25887) [NYG],25887,Cam Skattebo,NYG,15,,RB15
Breece Hall (22526) [NYJ],22526,Breece Hall,NYJ,16,,RB16
Saquon Barkley (19766) [PHI],19766,Saquon Barkley,PHI,17,,RB17
Jadarian Price (26765) [SEA],26765,Jadarian Price,SEA,18,,RB18
Travis Etienne Jr. (21696) [NO],21696,Travis Etienne Jr.,NO,19,,RB19
Kyren Williams (23212) [LAR],23212,Kyren Williams,LAR,20,,RB20
Josh Jacobs (20824) [GB],20824,Josh Jacobs,GB,21,,RB21
Derrick Henry (17959) [BAL],17959,Derrick Henry,BAL,22,,RB22
Javonte Williams (22558) [DAL],22558,Javonte Williams,DAL,23,,RB23
Bhayshul Tuten (25898) [JAX],25898,Bhayshul Tuten,JAX,24,,RB24
D'Andre Swift (21684) [CHI],21684,D'Andre Swift,CHI,25,,RB25
Zach Charbonnet (23173) [SEA],23173,Zach Charbonnet,SEA,26,,RB26
RJ Harvey (25944) [DEN],25944,RJ Harvey,DEN,27,,RB27
David Montgomery (20882) [HOU],20882,David Montgomery,HOU,28,,RB28
Kyle Monangai (25952) [CHI],25952,Kyle Monangai,CHI,29,,RB29
Rhamondre Stevenson (22546) [NE],22546,Rhamondre Stevenson,NE,30,,RB30
Chuba Hubbard (21691) [CAR],21691,Chuba Hubbard,CAR,31,,RB31
Jaylen Warren (23479) [PIT],23479,Jaylen Warren,PIT,32,,RB32
