ONLY EDIT THIS COLUMN,QB Ranks,,,,
ID,SDIO,Name,Team,Rank,Comments
Josh Allen (19801) [BUF],19801,Josh Allen,BUF,1,
Drake Maye (24958) [NE],24958,Drake Maye,NE,2,
Lamar Jackson (19781) [BAL],19781,Lamar Jackson,BAL,3,
Jayden Daniels (23235) [WAS],23235,Jayden Daniels,WAS,4,
Caleb Williams (24927) [CHI],24927,Caleb Williams,CHI,5,
Jalen Hurts (21831) [PHI],21831,Jalen Hurts,PHI,6,
Justin Herbert (21681) [LAC],21681,Justin Herbert,LAC,7,
Jaxson Dart (26082) [NYG],26082,Jaxson Dart,NYG,8,
Joe Burrow (21693) [CIN],21693,Joe Burrow,CIN,9,
Trevor Lawrence (22490) [JAX],22490,Trevor Lawrence,JAX,10,
Patrick Mahomes (18890) [KC],18890,Patrick Mahomes,KC,11,
Bo Nix (25069) [DEN],25069,Bo Nix,DEN,12,
Brock Purdy (23241) [SF],23241,Brock Purdy,SF,13,
Jordan Love (21841) [GB],21841,Jordan Love,GB,14,
Dak Prescott (18055) [DAL],18055,Dak Prescott,DAL,15,
Fernando Mendoza (26740) [LV],26740,Fernando Mendoza,LV,16,
Cam Ward (25323) [TEN],25323,Cam Ward,TEN,17,
Jared Goff (17922) [DET],17922,Jared Goff,DET,18,
Baker Mayfield (19790) [TB],19790,Baker Mayfield,TB,19,
Kyler Murray (20889) [MIN],20889,Kyler Murray,MIN,20,
Tyler Shough (23187) [NO],23187,Tyler Shough,NO,21,
C.J. Stroud (23239) [HOU],23239,C.J. Stroud,HOU,22,
Ty Simpson (26739) [LAR],26739,Ty Simpson,LAR,23,
Sam Darnold (19812) [SEA],19812,Sam Darnold,SEA,24,
Malik Willis (23118) [MIA],23118,Malik Willis,MIA,25,
Daniel Jones (20841) [IND],20841,Daniel Jones,IND,26,
Bryce Young (23132) [CAR],23132,Bryce Young,CAR,27,
Matthew Stafford (9038) [LAR],9038,Matthew Stafford,LAR,28,
Tua Tagovailoa (21677) [ATL],21677,Tua Tagovailoa,ATL,29,
Michael Penix Jr. (23242) [ATL],23242,Michael Penix Jr.,ATL,30,
J.J. McCarthy (24956) [MIN],24956,J.J. McCarthy,MIN,31,
Shedeur Sanders (26079) [CLE],26079,Shedeur Sanders,CLE,32,
Drew Allar (28045) [PIT],28045,Drew Allar,PIT,33,
Carson Beck (24994) [ARI],24994,Carson Beck,ARI,34,
Garrett Nussmeier (25871) [KC],25871,Garrett Nussmeier,KC,35,
Geno Smith (14895) [NYJ],14895,Geno Smith,NYJ,36,
Taylen Green (26839) [CLE],26839,Taylen Green,CLE,37,
Mac Jones (22496) [SF],22496,Mac Jones,SF,38,
Haynes King (28047) [CAR],28047,Haynes King,CAR,39,
Deshaun Watson (18857) [CLE],18857,Deshaun Watson,CLE,40,
Justin Fields (22492) [KC],22492,Justin Fields,KC,41,
Kirk Cousins (14252) [LV],14252,Kirk Cousins,LV,42,
Cole Payton (26933) [PHI],26933,Cole Payton,PHI,43,
Jacoby Brissett (18018) [ARI],18018,Jacoby Brissett,ARI,44,
Anthony Richardson Sr. (24117) [IND],24117,Anthony Richardson Sr.,IND,45,
Tyson Bagent (24168) [CHI],24168,Tyson Bagent,CHI,46,
Aaron Rodgers (2593) [FA],2593,Aaron Rodgers,,47,
Dillon Gabriel (23177) [CLE],23177,Dillon Gabriel,CLE,48,
Spencer Rattler (23186) [NO],23186,Spencer Rattler,NO,49,
Jalen Milroe (25882) [SEA],25882,Jalen Milroe,SEA,50,
Quinn Ewers (26048) [MIA],26048,Quinn Ewers,MIA,51,
Joe Flacco (611) [CIN],611,Joe Flacco,CIN,52,
Russell Wilson (14536) [FA],14536,Russell Wilson,,53,
Diego Pavia (26856) [BAL],26856,Diego Pavia,BAL,54,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,RB Ranks,,,,
ID,SDIO,Name,Team,Rank,Comments
Bijan Robinson (23189) [ATL],23189,Bijan Robinson,ATL,1,
Jahmyr Gibbs (23200) [DET],23200,Jahmyr Gibbs,DET,2,
Ashton Jeanty (25868) [LV],25868,Ashton Jeanty,LV,3,
Jeremiyah Love (26768) [ARI],26768,Jeremiyah Love,ARI,4,
Omarion Hampton (25956) [LAC],25956,Omarion Hampton,LAC,5,
Jonathan Taylor (21682) [IND],21682,Jonathan Taylor,IND,6,
James Cook III (23247) [BUF],23247,James Cook III,BUF,7,
De'Von Achane (24179) [MIA],24179,De'Von Achane,MIA,8,
Kenneth Walker III (23214) [KC],23214,Kenneth Walker III,KC,9,
Chase Brown (24374) [CIN],24374,Chase Brown,CIN,10,
Quinshon Judkins (25946) [CLE],25946,Quinshon Judkins,CLE,11,
TreVeyon Henderson (23245) [NE],23245,TreVeyon Henderson,NE,12,
Christian McCaffrey (18877) [SF],18877,Christian McCaffrey,SF,13,
Saquon Barkley (19766) [PHI],19766,Saquon Barkley,PHI,14,
Bucky Irving (24967) [TB],24967,Bucky Irving,TB,15,
Breece Hall (22526) [NYJ],22526,Breece Hall,NYJ,16,
Derrick Henry (17959) [BAL],17959,Derrick Henry,BAL,17,
Javonte Williams (22558) [DAL],22558,Javonte Williams,DAL,18,
Josh Jacobs (20824) [GB],20824,Josh Jacobs,GB,19,
Travis Etienne Jr. (21696) [NO],21696,Travis Etienne Jr.,NO,20,
Jadarian Price (26765) [SEA],26765,Jadarian Price,SEA,21,
Cam Skattebo (25887) [NYG],25887,Cam Skattebo,NYG,22,
Kyren Williams (23212) [LAR],23212,Kyren Williams,LAR,23,
RJ Harvey (25944) [DEN],25944,RJ Harvey,DEN,24,
Bhayshul Tuten (25898) [JAX],25898,Bhayshul Tuten,JAX,25,
D'Andre Swift (21684) [CHI],21684,D'Andre Swift,CHI,26,
Rhamondre Stevenson (22546) [NE],22546,Rhamondre Stevenson,NE,27,
Jonah Coleman (25886) [DEN],25886,Jonah Coleman,DEN,28,
David Montgomery (20882) [HOU],20882,David Montgomery,HOU,29,
Nicholas Singleton (27045) [TEN],27045,Nicholas Singleton,TEN,30,
Chuba Hubbard (21691) [CAR],21691,Chuba Hubbard,CAR,31,
Zach Charbonnet (23173) [SEA],23173,Zach Charbonnet,SEA,32,
Jaylen Warren (23479) [PIT],23479,Jaylen Warren,PIT,33,
Mike Washington Jr. (26932) [LV],26932,Mike Washington Jr.,LV,34,
Emmett Johnson (26835) [KC],26835,Emmett Johnson,KC,35,
Rico Dowdle (21952) [PIT],21952,Rico Dowdle,PIT,36,
Tony Pollard (20912) [TEN],20912,Tony Pollard,TEN,37,
Blake Corum (24116) [LAR],24116,Blake Corum,LAR,38,
Dylan Sampson (25889) [CLE],25889,Dylan Sampson,CLE,39,
Eli Heidenreich (26961) [PIT],26961,Eli Heidenreich,PIT,40,
Kaytron Allen (25939) [WAS],25939,Kaytron Allen,WAS,41,
Kyle Monangai (25952) [CHI],25952,Kyle Monangai,CHI,42,
Rachaad White (23217) [WAS],23217,Rachaad White,WAS,43,
