"Player Details","","","","","","Passing","","","","","","","","","","","","","","","Total Rushing","","","Scrambles","","","FPTS","","","",""
"Rank","Name","Team","POS","G","Season","DB","ATT","CMP","CMP %","YDS","YDS/G","YPA","TD","INT","1D","RATE","SACK","SACK %","SK YDS","ANY/A","ATT","YDS","TD","SCRM","YDS","TD","FP/DB","FP/OPP","FP/G","FP","OPP"
"1","Matthew Stafford","LA","QB","17","2025","627","597","388","65.0","4707","276.9","7.88","46","8","236","109.2","23","3.7","150","8.25","29","1","0","7","22","0","0.58","0.56","21.3","361.4","649"
"2","Jared Goff","DET","QB","17","2025","621","578","393","68.0","4564","268.5","7.90","34","8","223","105.5","38","6.1","259","7.51","19","45","0","5","48","0","0.50","0.49","18.2","310.1","635"
"3","Dak Prescott","DAL","QB","17","2025","657","600","404","67.3","4552","267.8","7.59","30","10","220","99.5","31","4.7","208","7.12","53","177","2","26","176","1","0.50","0.48","19.2","325.8","684"
"4","Drake Maye","NE","QB","17","2025","601","492","354","72.0","4394","258.5","8.93","31","8","203","113.5","47","7.8","201","8.26","103","450","4","62","429","3","0.60","0.57","21.4","363.0","642"
"5","Sam Darnold","SEA","QB","17","2025","518","477","323","67.7","4048","238.1","8.49","25","14","178","99.1","27","5.2","186","7.40","35","95","0","14","89","0","0.49","0.47","15.0","255.4","539"
"6","Trevor Lawrence","JAX","QB","17","2025","643","560","341","60.9","4007","235.7","7.16","29","12","194","91.0","41","6.4","247","6.32","82","359","9","42","309","4","0.55","0.52","20.8","353.2","683"
"7","Caleb Williams","CHI","QB","17","2025","635","568","330","58.1","3942","231.9","6.94","27","7","187","90.1","24","3.8","165","6.76","77","383","3","43","363","2","0.51","0.49","19.2","326.2","669"
"8","Bo Nix","DEN","QB","17","2025","670","612","388","63.4","3931","231.2","6.42","25","11","196","87.8","22","3.3","119","6.02","83","356","5","36","307","3","0.47","0.44","18.7","317.8","717"
"9","Justin Herbert","LAC","QB","16","2025","615","512","340","66.4","3727","232.9","7.28","26","13","175","94.1","54","8.8","301","5.94","83","498","2","49","439","1","0.49","0.47","18.9","301.9","649"
"10","Baker Mayfield","TB","QB","17","2025","621","543","343","63.2","3693","217.2","6.80","26","11","172","90.6","36","5.8","234","6.02","55","382","1","42","373","1","0.46","0.45","16.8","285.9","634"
