"Player Details","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","TGT","TGT %","REC","YDS","TM YDS %","YPR","YPT","RecYDS/G","CR %","TD","TM TD %","i10","i20 TGT","FUM","FP/G","FP","PPR","NON-PPR"
"1","Jaxon Smith-Njigba","SEA","WR","17","2025","157","32.6","119","1793","44.1","15.07","11.42","105.5","75.8","10","40.0","7","17","3","21.2","360.9","360.9","241.9"
"2","Puka Nacua","LA","WR","16","2025","163","28.8","129","1715","37.9","13.29","10.52","107.2","79.1","10","24.4","10","17","1","23.5","376.0","376.0","247.0"
"3","George Pickens","DAL","WR","17","2025","131","21.0","93","1429","30.2","15.37","10.91","84.1","71.0","9","29.0","10","23","4","17.2","291.9","291.9","198.9"
"4","Ja'Marr Chase","CIN","WR","16","2025","182","30.2","125","1412","34.9","11.30","7.76","88.3","68.7","8","22.9","8","22","1","19.7","314.6","314.6","189.6"
"5","Amon-Ra St. Brown","DET","WR","17","2025","166","28.5","117","1401","30.7","11.97","8.44","82.4","70.5","11","31.4","19","33","1","19.1","324.0","324.0","207.0"
"6","Trey McBride","ARZ","TE","17","2025","165","25.4","126","1239","28.5","9.83","7.51","72.9","76.4","11","37.9","11","32","0","18.6","315.9","315.9","189.9"
"7","Zay Flowers","BLT","WR","17","2025","117","27.7","86","1211","36.9","14.08","10.35","71.2","73.5","5","21.7","5","11","3","14.5","246.3","246.3","160.3"
"8","Chris Olave","NO","WR","16","2025","151","27.2","100","1163","30.9","11.63","7.70","72.7","66.2","9","50.0","3","14","0","16.8","269.0","269.0","169.0"
"9","Jameson Williams","DET","WR","17","2025","99","17.0","65","1117","24.5","17.18","11.28","65.7","65.7","7","20.0","4","9","0","12.9","219.9","219.9","154.9"
"10","Nico Collins","HST","WR","15","2025","118","23.1","71","1117","32.5","15.73","9.47","74.5","60.2","6","28.6","8","16","1","15.1","227.2","227.2","156.2"
"11","CeeDee Lamb","DAL","WR","14","2025","113","21.7","75","1077","27.5","14.36","9.53","76.9","66.4","3","14.3","6","16","0","14.4","200.9","200.9","125.9"
"12","Justin Jefferson","MIN","WR","17","2025","138","28.5","84","1048","32.7","12.48","7.59","61.6","60.9","2","11.1","10","18","0","11.9","201.5","201.5","117.5"
"13","Courtland Sutton","DEN","WR","17","2025","120","19.6","74","1017","25.9","13.74","8.48","59.8","61.7","7","28.0","5","17","0","12.9","219.7","219.7","145.7"
"14","Tetairoa McMillan","CAR","WR","17","2025","119","23.1","70","1014","30.7","14.49","8.52","59.6","58.8","7","29.2","6","15","1","12.5","212.4","212.4","142.4"
"15","Wan'Dale Robinson","NYG","WR","16","2025","132","26.8","92","1014","29.2","11.02","7.68","63.4","69.7","4","21.1","4","12","1","13.6","217.9","217.9","125.9"
"16","Stefon Diggs","NE","WR","17","2025","100","19.9","85","1013","22.7","11.92","10.13","59.6","85.0","4","12.9","7","12","0","12.4","210.3","210.3","125.3"
"17","DeVonta Smith","PHI","WR","17","2025","113","22.7","77","1008","28.8","13.09","8.92","59.3","68.1","4","15.4","3","10","0","11.9","201.8","201.8","124.8"
"18","Michael Wilson","ARZ","WR","17","2025","124","19.1","78","1006","23.1","12.90","8.11","59.2","62.9","7","24.1","4","15","0","13.0","220.6","220.6","142.6"
"19","A.J. Brown","PHI","WR","15","2025","120","27.5","78","1003","32.6","12.86","8.36","66.9","65.0","7","33.3","5","13","0","14.7","220.3","220.3","142.3"
"20","Alec Pierce","IND","WR","15","2025","84","17.4","47","1003","27.8","21.34","11.94","66.9","56.0","6","27.3","4","9","0","12.2","183.3","183.3","136.3"
"21","Emeka Egbuka","TB","WR","17","2025","127","22.8","63","938","25.0","14.89","7.39","55.2","49.6","6","23.1","4","14","0","11.5","195.7","195.7","132.7"
"22","Kyle Pitts","ATL","TE","17","2025","116","21.3","88","928","25.1","10.55","8.00","54.6","75.9","5","26.3","6","12","0","12.4","210.8","210.8","122.8"
"23","Drake London","ATL","WR","12","2025","108","28.1","68","919","35.9","13.51","8.51","76.6","63.0","7","53.8","8","14","1","16.9","202.9","202.9","134.9"
"24","Jaylen Waddle","MIA","WR","16","2025","98","21.6","64","910","28.6","14.22","9.29","56.9","65.3","6","27.3","4","10","1","12.1","194.1","194.1","130.1"
"25","Juwan Johnson","NO","TE","17","2025","100","16.9","77","889","22.1","11.55","8.89","52.3","77.0","3","15.8","0","7","2","10.7","181.9","181.9","104.9"
